year,term_str,n,p,i,p_yr,i_yr
2013,the,3045,0.01625248190610389,5.943196141774187,0.06354871024292512,3.9759933445605093
2013,of,1810,0.009660752791477187,6.693648672597315,0.037774438600884884,4.726445875383637
2013,and,1433,0.007648540745959564,7.030599760305737,0.029906503046998916,5.0633969630920586
2013,in,1206,0.006436943572663806,7.2794084626677975,0.025169045830202855,5.312205665454119
2013,to,967,0.005161297209590299,7.598050575091041,0.0201811503464396,5.630847777877363
2013,a,782,0.0041738722005166635,7.9043978572605305,0.016320227064028716,5.937195060046852
2013,for,451,0.0024071820491470782,8.698439031312502,0.009412304866850322,6.731236234098823
2013,with,377,0.002012212045517624,8.957001941299218,0.007867935553885968,6.98979914408554
2013,is,373,0.0019908623155917076,8.972390834312645,0.007784456131563569,7.005188037098966
2013,were,369,0.001969512585665791,8.987945648507486,0.007700976709241172,7.020742851293808
2013,by,362,0.0019321505582954375,9.015576767484678,0.007554887720176977,7.048373970270998
2013,that,348,0.00185742650355473,9.072479158719155,0.007262709742048585,7.105276361505476
2013,from,341,0.0018200644761843764,9.10179472554371,0.007116620752984389,7.134591928330032
2013,are,302,0.001611904609406691,9.277017915242803,0.006302696385341013,7.3098151180291255
2013,was,290,0.0015478554196289417,9.335513564552947,0.006052258118373821,7.36831076733927
2013,as,278,0.0014838062298511924,9.396481581844375,0.005801819851406628,7.4292787846306965
2013,at,256,0.001366382715258652,9.515422654567882,0.005342683028633442,7.548219857354204
2013,on,253,0.0013503704178142147,9.532429079873573,0.005280073461891644,7.565226282659894
2013,this,248,0.0013236832554068192,9.561226344181007,0.005175724183988647,7.594023546967329
2013,species,202,0.00107816136125878,9.857211171816088,0.004215710827281075,7.8900083746024094
2013,coral,188,0.0010034373065180725,9.960833802890246,0.0039235328491526835,7.9936310056765665
2013,be,180,0.0009607378466662396,10.023569558238208,0.003756574004507889,8.05636676102453
2013,each,176,0.0009393881167403232,10.055991035930585,0.0036730945821854912,8.088788238716907
2013,between,168,0.0008966886568884904,10.123105231789122,0.003506135737540696,8.155902434575443
2013,data,155,0.0008273020346292619,10.239298249293645,0.0032348276149929043,8.272095452079967
2013,we,140,0.0007472405474070753,10.386139637622916,0.0029217797812839136,8.418936840409238
2013,an,138,0.0007365656824441171,10.406898197789713,0.002880040070122715,8.439695400576035
2013,not,137,0.0007312282499626379,10.417390571607356,0.0028591702145421153,8.450187774393678
2013,these,133,0.0007098785200367215,10.460140219066693,0.0027756907922197177,8.492937421853014
2013,rates,133,0.0007098785200367215,10.460140219066693,0.0027756907922197177,8.492937421853014
2013,which,131,0.0006992036550737633,10.481999653030432,0.002733951081058519,8.514796855816753
2013,populations,128,0.000683191357629326,10.515422654567882,0.002671341514316721,8.548219857354205
2013,soil,123,0.0006565041952219304,10.572908149228642,0.002566992236413724,8.605705352014965
2013,or,123,0.0006565041952219304,10.572908149228642,0.002566992236413724,8.605705352014965
